state,race,gender,education,year,group_id,Y,n,Y_bar,latent_group_pref,lon,lat
Alabama,Black,Female,Bachelors,2000,Alabama_2000_0_1_2,2,2,1,0.9379891162932256,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2001,Alabama_2001_0_1_2,1,1,1,1.0442249401912362,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2002,Alabama_2002_0_1_2,4,4,1,1.080922383562363,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2004,Alabama_2004_0_1_2,1,1,1,1.0683312137688894,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2005,Alabama_2005_0_1_2,0,1,0,1.0674166207785705,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2007,Alabama_2007_0_1_2,1,2,0.5,1.091697615950223,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2008,Alabama_2008_0_1_2,3,3,1,1.083685398239461,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2009,Alabama_2009_0_1_2,3,3,1,1.0327406068435627,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2010,Alabama_2010_0_1_2,1,1,1,0.9232179257821822,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2011,Alabama_2011_0_1_2,1,1,1,0.7518984204453831,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2012,Alabama_2012_0_1_2,1,2,0.5,0.529780560585415,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2013,Alabama_2013_0_1_2,3,4,0.75,0.2793890588435071,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2014,Alabama_2014_0_1_2,2,2,1,0.02816806100015463,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2015,Alabama_2015_0_1_2,1,1,1,-0.20015706556954008,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2016,Alabama_2016_0_1_2,1,4,0.25,-0.3932487633766503,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2017,Alabama_2017_0_1_2,1,1,1,-0.5537512858765841,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2018,Alabama_2018_0_1_2,0,2,0,-0.6971642052481621,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2019,Alabama_2019_0_1_2,1,3,0.33333333333333337,-0.8450729007460266,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2021,Alabama_2021_0_1_2,0,2,0,-1.225838039900531,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2022,Alabama_2022_0_1_2,0,2,0,-1.475041890727759,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2023,Alabama_2023_0_1_2,0,2,0,-1.7622794606580352,-86.7509,32.5901
Alabama,Black,Female,Bachelors,2024,Alabama_2024_0_1_2,0,1,0,-2.080654110639342,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2000,Alabama_2000_0_1_0,2,2,1,1.350384228618072,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2001,Alabama_2001_0_1_0,4,4,1,1.427004113642329,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2002,Alabama_2002_0_1_0,6,7,0.8571428571428571,1.448425797751851,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2003,Alabama_2003_0_1_0,3,3,1,1.454985789829307,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2004,Alabama_2004_0_1_0,3,4,0.75,1.4734524998977825,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2005,Alabama_2005_0_1_0,6,6,1,1.5096942461250038,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2006,Alabama_2006_0_1_0,2,2,1,1.5509788226512298,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2007,Alabama_2007_0_1_0,1,2,0.5,1.5752403707062117,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2008,Alabama_2008_0_1_0,6,8,0.75,1.562024816995848,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2009,Alabama_2009_0_1_0,2,3,0.6666666666666666,1.5002506620679026,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2010,Alabama_2010_0_1_0,5,5,1,1.3905333036302805,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2011,Alabama_2011_0_1_0,4,4,1,1.242845681503458,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2012,Alabama_2012_0_1_0,5,5,1,1.071970291627327,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2013,Alabama_2013_0_1_0,1,3,0.33333333333333337,0.8929505477931206,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2014,Alabama_2014_0_1_0,1,2,0.5,0.7173429637733679,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2015,Alabama_2015_0_1_0,3,3,1,0.5500536280561843,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2016,Alabama_2016_0_1_0,2,3,0.6666666666666666,0.3868740446056097,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2017,Alabama_2017_0_1_0,0,2,0,0.2139818767613438,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2018,Alabama_2018_0_1_0,2,3,0.6666666666666666,0.01098297853850371,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2019,Alabama_2019_0_1_0,2,5,0.4,-0.24240921561072948,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2020,Alabama_2020_0_1_0,0,5,0,-0.5583834051740107,-86.7509,32.5901
Alabama,Black,Female,Hs or Less,2021,Alabama_2021_0_1_0,1,3,0.33333333333333337,-0.9354524140353244,-86.7509,32.5901
